Country,"Malnutrition death rate (per 100,000)",Malnutrition,GDP,Population,Continent 
Chad,16.39,1639000,1562.00,16126868,Africa
Mozambique,17.43,1743000,1285.00,30285602,Africa
Zambia,17.69,1769000,3372.00,18380478,Africa
Malawi,17.98,1798000,1518.00,18867340,Africa
Guatemala,18.63,1863000,8672.00,17106338,N. America
Burundi,24.46,2446000,730.00,11874838,Africa
Kiribati,25.24,2524000,1991.00,124252,Australia
South Sudan,25.51,2551000,1071.78,10447677,Africa
Djibouti,27.07,2707000,4768.00,1073999,Africa
Zimbabwe,27.38,2738000,2203.00,15354606,Africa
Eritrea,27.52,2752000,643.79,3498819,Africa
Madagascar,28.32,2832000,1585.00,27533134,Africa
Central African Republic,29.51,2951000,862.00,5209329,Africa
Somalia,46.73,4673000,1138.00,15981312,Africa
Mali,57.15,5715000,2219.00,20567430,Africa
