Country or region,"Malnutrition death rate (per 100,000)",Malnutrition,GDP,Population
Namibia,9.39,939000,"$10,010","2,446,648"
Ghana,9.56,956000,"$5,346","31,522,294"
Botswana,9.8,980000,"$15,118","2,499,705"
Bolivia,10.07,1007000,"$8,529","11,777,318"
Congo,10.36,1036000,"$3,695","5,570,736"
Democratic Republic of Congo,11.52,1152000,"$1,060","89,906,896"
Lesotho,11.69,1169000,"$2,533","2,225,710"
Liberia,11.75,1175000,"$1,456","4,985,290"
Guinea,12.21,1221000,"$2,545","12,877,537"
Comoros,12.54,1254000,"$3,291","790,993"
Mauritania,12.69,1269000,"$5,506","4,383,853"
Ethiopia,12.9,1290000,"$2,182","114,120,592"
Uganda,13.11,1311000,"$2,250","42,949,076"
Sierra Leone,13.12,1312000,"$1,656","8,046,830"
Rwanda,13.52,1352000,"$2,191","12,835,029"
Indonesia,14.53,1453000,"$11,858","269,582,880"
Angola,15.04,1504000,"$6,602","32,353,592"
Tanzania,15.37,1537000,"$2,578","59,872,584"
Kenya,15.4,1540000,"$4,601","50,951,452"
Burkina Faso,16.16,1616000,"$2,110","20,951,638"
Chad,16.39,1639000,"$1,562","16,126,868"
Mozambique,17.43,1743000,"$1,285","30,285,602"
Zambia,17.69,1769000,"$3,372","18,380,478"
Malawi,17.98,1798000,"$1,518","18,867,340"
Guatemala,18.63,1863000,"$8,672","17,106,338"
Burundi,24.46,2446000,$730,"11,874,838"
Kiribati,25.24,2524000,"$1,991","124,252"
South Sudan,25.51,2551000,,"10,447,677"
Djibouti,27.07,2707000,"$4,768","1,073,999"
Zimbabwe,27.38,2738000,"$2,203","15,354,606"
Eritrea,27.52,2752000,,"3,498,819"
Madagascar,28.32,2832000,"$1,585","27,533,134"
Central African Republic,29.51,2951000,$862,"5,209,329"
Somalia,46.73,4673000,"$1,138","15,981,312"
Mali,57.15,5715000,"$2,219","20,567,430"
Aruba,,,"$40,781","106,458"
Cayman Islands,,,"$72,403","66,152"
Curacao,,,"$23,659","193,119"
Hong Kong,,,"$59,589","7,496,121"
Kosovo,,,"$11,318","1,686,856"
Macao,,,"$122,822","663,660"
Sint Maarten (Dutch part),,,"2018 $35,134","43,002"
Turks and Caicos Islands,,,"$25,934","43,104"
Anguilla,,,,"15,408"
Bonaire Sint Eustatius and Saba,,,,"25,597"
British Virgin Islands,,,,"30,631"
Czechoslovakia,,,,
East Germany,,,,
Ethiopia (former),,,,
Falkland Islands,,,,"3,729"
Faroe Islands,,,,"51,708"
French Guiana,,,,"284,088"
French Polynesia,,,,"299,730"
Gibraltar,,,,"32,715"
Guadeloupe,,,,"395,487"
Guernsey,,,,"62,391"
Isle of Man,,,,"83,950"
Jersey,,,,"107,055"
Liechtenstein,,,,"38,500"
Martinique,,,,"372,254"
Mayotte,,,,"294,502"
Montserrat,,,,"4,528"
Netherlands Antilles,,,,
New Caledonia,,,,"285,374"
Reunion,,,,"949,423"
Saint Barthelemy,,,,"10,504"
Saint Helena,,,,"5,470"
Saint Martin (French part),,,,"33,150"
Saint Pierre and Miquelon,,,,"5,952"
Serbia and Montenegro,,,,
USSR,,,,
Vatican,,,,
Wallis and Futuna,,,,"11,735"
West Germany,,,,
Western Sahara,,,,"544,883"
Yemen Arab Republic,,,,
Yemen People's Republic,,,,
Yugoslavia,,,,
England,0.08,8000,,
Wales,0.1,10000,,
Northern Ireland,0.11,11000,,
Scotland,0.11,11000,,
Europe & Central Asia (WB),0.49,49000,,
European Region (WHO),0.49,49000,,
World Bank High Income,0.57,57000,,
North America (WB),0.83,83000,"$61,115",
Middle East & North Africa (WB),0.86,86000,,
OECD Countries,0.89,89000,,
Western Pacific Region (WHO),0.91,91000,,
G20,1.57,157000,,
World Bank Upper Middle Income,1.59,159000,,
East Asia & Pacific (WB),1.61,161000,,
South Asia (WB),1.7,170000,"$6,288",
Region of the Americas (WHO),2.61,261000,,
South-East Asia Region (WHO),2.81,281000,,
World,3.01,301000,"$16,847","7,764,951,040"
Eastern Mediterranean Region (WHO),3.08,308000,,
World Bank Lower Middle Income,3.26,326000,,
Latin America & Caribbean (WB),4.08,408000,,
African Region (WHO),10.88,1088000,,
Sub-Saharan Africa (WB),11.64,1164000,"$3,826",
World Bank Low Income,14.55,1455000,,
East Asia and Pacific (WB),,,"$17,703",
Europe and Central Asia (WB),,,"$35,329",
European Union (27),,,"$44,363","445,027,038"
High-income countries,,,"$49,983","1,214,846,354"
Latin America and Caribbean (WB),,,"$16,065",
Low-income countries,,,"$2,012","661,633,048"
Lower-middle-income countries,,,"$7,260","3,326,051,409"
Middle East and North Africa (WB),,,"$16,031",
Middle-income countries,,,"$11,555",
Upper-middle-income countries,,,"$17,273","2,530,546,049"
West Bank and Gaza,,,"$6,245",
Africa,,,,"1,327,701,380"
Africa (UN),,,,"1,327,701,120"
Akrotiri and Dhekelia,,,,
Asia,,,,"4,627,738,749"
Asia (UN),,,,"4,628,967,424"
Europe,,,,"747,418,251"
Europe (UN),,,,"746,189,632"
Latin America and the Caribbean (UN),,,,"646,846,784"
North America,,,,"590,497,015"
Northern America (UN),,,,"371,967,904"
Oceania,,,,"43,278,474"
Oceania (UN),,,,"43,278,152"
South America,,,,"428,318,218"
Svalbard and Jan Mayen,,,,
