Series,Year,Deaths
70+ years old,2016,665
70+ years old,2017,682
70+ years old,2018,644
70+ years old,2019,620
70+ years old,1990,5
70+ years old,1991,5
70+ years old,1992,6
70+ years old,1993,5
70+ years old,1994,5
70+ years old,1995,5
70+ years old,1996,5
70+ years old,1997,5
70+ years old,1998,5
70+ years old,1999,5
70+ years old,2000,5
70+ years old,2001,4
70+ years old,2002,4
70+ years old,2003,4
70+ years old,2004,4
70+ years old,2005,4
70+ years old,2006,4
70+ years old,2007,4
70+ years old,2008,4
70+ years old,2009,3
70+ years old,2010,3
70+ years old,2011,3
70+ years old,2012,3
70+ years old,2013,3
70+ years old,2014,3
70+ years old,2015,3
70+ years old,2016,3
70+ years old,2017,4
70+ years old,2018,4
70+ years old,2019,4
70+ years old,1990,3
70+ years old,1991,3
70+ years old,1992,3
70+ years old,1993,4
70+ years old,1994,3
70+ years old,1995,4
70+ years old,1996,4
70+ years old,1997,4
70+ years old,1998,4
70+ years old,1999,4
70+ years old,2000,4
70+ years old,2001,4
70+ years old,2002,4
70+ years old,2003,4
70+ years old,2004,4
70+ years old,2005,4
70+ years old,2006,4
70+ years old,2007,4
70+ years old,2008,4
70+ years old,2009,4
70+ years old,2010,5
70+ years old,2011,5
70+ years old,2012,5
70+ years old,2013,6
70+ years old,2014,6
70+ years old,2015,6
70+ years old,2016,6
70+ years old,2017,6
70+ years old,2018,6
70+ years old,2019,6
70+ years old,1990,43
70+ years old,1991,48
70+ years old,1992,65
70+ years old,1993,74
70+ years old,1994,83
70+ years old,1995,88
70+ years old,1996,87
70+ years old,1997,100
70+ years old,1998,102
70+ years old,1999,120
70+ years old,2000,147
70+ years old,2001,164
70+ years old,2002,181
70+ years old,2003,197
70+ years old,2004,204
70+ years old,2005,215
70+ years old,2006,221
70+ years old,2007,232
70+ years old,2008,244
70+ years old,2009,251
70+ years old,2010,261
70+ years old,2011,272
70+ years old,2012,285
70+ years old,2013,292
70+ years old,2014,297
70+ years old,2015,312
70+ years old,2016,307
70+ years old,2017,313
70+ years old,2018,320
70+ years old,2019,325
70+ years old,1990,4
70+ years old,1991,3
70+ years old,1992,3
70+ years old,1993,3
70+ years old,1994,3
70+ years old,1995,3
70+ years old,1996,4
70+ years old,1997,4
70+ years old,1998,4
70+ years old,1999,4
70+ years old,2000,4
70+ years old,2001,4
70+ years old,2002,3
70+ years old,2003,3
70+ years old,2004,3
70+ years old,2005,3
70+ years old,2006,3
70+ years old,2007,3
70+ years old,2008,3
70+ years old,2009,3
70+ years old,2010,3
70+ years old,2011,3
70+ years old,2012,3
70+ years old,2013,3
70+ years old,2014,4
70+ years old,2015,4
70+ years old,2016,4
70+ years old,2017,4
70+ years old,2018,5
70+ years old,2019,5
70+ years old,1990,160
70+ years old,1991,156
70+ years old,1992,152
70+ years old,1993,148
70+ years old,1994,145
70+ years old,1995,142
70+ years old,1996,140
70+ years old,1997,136
70+ years old,1998,131
70+ years old,1999,128
70+ years old,2000,126
70+ years old,2001,122
70+ years old,2002,121
70+ years old,2003,116
70+ years old,2004,113
70+ years old,2005,112
70+ years old,2006,113
70+ years old,2007,111
70+ years old,2008,112
70+ years old,2009,112
70+ years old,2010,113
70+ years old,2011,114
70+ years old,2012,114
70+ years old,2013,115
70+ years old,2014,113
70+ years old,2015,114
70+ years old,2016,112
70+ years old,2017,112
70+ years old,2018,112
70+ years old,2019,112
70+ years old,1990,0
70+ years old,1991,0
70+ years old,1992,0
70+ years old,1993,0
70+ years old,1994,0
70+ years old,1995,0
70+ years old,1996,0
70+ years old,1997,0
70+ years old,1998,0
70+ years old,1999,0
70+ years old,2000,0
70+ years old,2001,0
70+ years old,2002,0
70+ years old,2003,0
70+ years old,2004,0
70+ years old,2005,0
70+ years old,2006,0
70+ years old,2007,0
70+ years old,2008,0
70+ years old,2009,0
70+ years old,2010,0
70+ years old,2011,0
70+ years old,2012,0
70+ years old,2013,0
70+ years old,2014,0
70+ years old,2015,0
70+ years old,2016,0
70+ years old,2017,0
70+ years old,2018,0
70+ years old,2019,0
70+ years old,1990,1
70+ years old,1991,1
70+ years old,1992,1
70+ years old,1993,1
70+ years old,1994,1
70+ years old,1995,1
70+ years old,1996,1
70+ years old,1997,1
70+ years old,1998,1
70+ years old,1999,1
70+ years old,2000,0
70+ years old,2001,0
70+ years old,2002,0
70+ years old,2003,0
70+ years old,2004,0
70+ years old,2005,0
70+ years old,2006,0
70+ years old,2007,0
70+ years old,2008,0
70+ years old,2009,0
70+ years old,2010,0
70+ years old,2011,0
70+ years old,2012,0
70+ years old,2013,0
70+ years old,2014,0
70+ years old,2015,0
70+ years old,2016,0
70+ years old,2017,0
70+ years old,2018,0
70+ years old,2019,0
70+ years old,1990,262
70+ years old,1991,267
70+ years old,1992,274
70+ years old,1993,279
70+ years old,1994,283
70+ years old,1995,289
70+ years old,1996,292
70+ years old,1997,299
70+ years old,1998,303
70+ years old,1999,307
70+ years old,2000,310
70+ years old,2001,310
70+ years old,2002,313
70+ years old,2003,316
70+ years old,2004,319
70+ years old,2005,324
70+ years old,2006,329
70+ years old,2007,336
70+ years old,2008,344
70+ years old,2009,353
70+ years old,2010,363
70+ years old,2011,372
70+ years old,2012,378
70+ years old,2013,386
70+ years old,2014,393
70+ years old,2015,399
70+ years old,2016,406
70+ years old,2017,410
70+ years old,2018,420
70+ years old,2019,428
70+ years old,1990,0
70+ years old,1991,0
70+ years old,1992,0
70+ years old,1993,0
70+ years old,1994,0
70+ years old,1995,0
70+ years old,1996,0
70+ years old,1997,0
70+ years old,1998,0
70+ years old,1999,0
70+ years old,2000,0
70+ years old,2001,1
70+ years old,2002,1
70+ years old,2003,1
70+ years old,2004,1
70+ years old,2005,1
70+ years old,2006,1
70+ years old,2007,2
70+ years old,2008,2
70+ years old,2009,2
70+ years old,2010,2
70+ years old,2011,2
70+ years old,2012,2
70+ years old,2013,2
70+ years old,2014,2
70+ years old,2015,2
70+ years old,2016,2
70+ years old,2017,2
70+ years old,2018,2
70+ years old,2019,2
70+ years old,1990,17
70+ years old,1991,17
70+ years old,1992,18
70+ years old,1993,18
70+ years old,1994,19
70+ years old,1995,19
70+ years old,1996,20
70+ years old,1997,20
70+ years old,1998,20
70+ years old,1999,20
70+ years old,2000,20
70+ years old,2001,20
70+ years old,2002,20
70+ years old,2003,20
70+ years old,2004,19
70+ years old,2005,19
70+ years old,2006,18
70+ years old,2007,18
70+ years old,2008,18
70+ years old,2009,18
70+ years old,2010,18
70+ years old,2011,18
70+ years old,2012,18
70+ years old,2013,18
70+ years old,2014,18
70+ years old,2015,18
70+ years old,2016,18
70+ years old,2017,18
70+ years old,2018,18
70+ years old,2019,19
70+ years old,1990,2461
70+ years old,1991,2459
70+ years old,1992,2533
70+ years old,1993,2658
70+ years old,1994,2700
70+ years old,1995,2752
70+ years old,1996,2906
70+ years old,1997,3030
70+ years old,1998,3221
70+ years old,1999,3347
70+ years old,2000,3483
70+ years old,2001,3675
70+ years old,2002,3833
70+ years old,2003,3997
70+ years old,2004,4081
70+ years old,2005,4063
70+ years old,2006,4106
70+ years old,2007,4157
70+ years old,2008,4204
70+ years old,2009,4306
70+ years old,2010,4419
70+ years old,2011,4457
70+ years old,2012,4448
70+ years old,2013,4486
70+ years old,2014,4494
70+ years old,2015,4558
70+ years old,2016,4634
70+ years old,2017,4627
70+ years old,2018,4817
70+ years old,2019,5002
70+ years old,1990,0
70+ years old,1991,0
70+ years old,1992,0
70+ years old,1993,0
70+ years old,1994,0
70+ years old,1995,0
70+ years old,1996,0
70+ years old,1997,0
70+ years old,1998,0
70+ years old,1999,0
70+ years old,2000,0
70+ years old,2001,0
70+ years old,2002,0
70+ years old,2003,0
70+ years old,2004,0
70+ years old,2005,0
70+ years old,2006,0
70+ years old,2007,0
70+ years old,2008,0
70+ years old,2009,0
70+ years old,2010,0
70+ years old,2011,0
70+ years old,2012,0
70+ years old,2013,0
70+ years old,2014,0
70+ years old,2015,0
70+ years old,2016,0
70+ years old,2017,0
70+ years old,2018,0
70+ years old,2019,0
70+ years old,1990,1
70+ years old,1991,1
70+ years old,1992,1
70+ years old,1993,1
70+ years old,1994,1
70+ years old,1995,1
70+ years old,1996,2
70+ years old,1997,2
70+ years old,1998,2
70+ years old,1999,3
70+ years old,2000,2
70+ years old,2001,3
70+ years old,2002,3
70+ years old,2003,2
70+ years old,2004,2
70+ years old,2005,3
70+ years old,2006,3
70+ years old,2007,3
70+ years old,2008,3
70+ years old,2009,3
70+ years old,2010,3
70+ years old,2011,3
70+ years old,2012,3
70+ years old,2013,2
70+ years old,2014,2
70+ years old,2015,2
70+ years old,2016,2
70+ years old,2017,2
70+ years old,2018,2
70+ years old,2019,2
70+ years old,1990,262
70+ years old,1991,278
70+ years old,1992,295
70+ years old,1993,314
70+ years old,1994,335
70+ years old,1995,357
70+ years old,1996,381
70+ years old,1997,414
70+ years old,1998,451
70+ years old,1999,473
70+ years old,2000,498
70+ years old,2001,498
70+ years old,2002,516
70+ years old,2003,530
70+ years old,2004,551
70+ years old,2005,568
70+ years old,2006,564
70+ years old,2007,525
70+ years old,2008,493
70+ years old,2009,461
70+ years old,2010,424
70+ years old,2011,392
70+ years old,2012,374
70+ years old,2013,363
70+ years old,2014,344
70+ years old,2015,342
70+ years old,2016,326
70+ years old,2017,327
70+ years old,2018,329
70+ years old,2019,328
70+ years old,1990,301
70+ years old,1991,300
70+ years old,1992,300
70+ years old,1993,301
70+ years old,1994,304
70+ years old,1995,306
70+ years old,1996,309
70+ years old,1997,317
70+ years old,1998,329
70+ years old,1999,338
70+ years old,2000,345
70+ years old,2001,337
70+ years old,2002,334
70+ years old,2003,330
70+ years old,2004,324
70+ years old,2005,327
70+ years old,2006,309
70+ years old,2007,296
70+ years old,2008,285
70+ years old,2009,275
70+ years old,2010,271
70+ years old,2011,267
70+ years old,2012,263
70+ years old,2013,259
70+ years old,2014,257
70+ years old,2015,259
70+ years old,2016,259
70+ years old,2017,263
70+ years old,2018,266
70+ years old,2019,269
70+ years old,1990,566
70+ years old,1991,539
70+ years old,1992,515
70+ years old,1993,495
70+ years old,1994,477
70+ years old,1995,461
70+ years old,1996,444
70+ years old,1997,427
70+ years old,1998,412
70+ years old,1999,396
70+ years old,2000,383
70+ years old,2001,369
70+ years old,2002,352
70+ years old,2003,334
70+ years old,2004,318
70+ years old,2005,303
70+ years old,2006,289
70+ years old,2007,276
70+ years old,2008,266
70+ years old,2009,260
70+ years old,2010,257
70+ years old,2011,255
70+ years old,2012,253
70+ years old,2013,251
70+ years old,2014,250
70+ years old,2015,250
70+ years old,2016,251
70+ years old,2017,254
70+ years old,2018,257
70+ years old,2019,259
70+ years old,1990,153
70+ years old,1991,154
70+ years old,1992,156
70+ years old,1993,158
70+ years old,1994,160
70+ years old,1995,161
70+ years old,1996,165
70+ years old,1997,168
70+ years old,1998,172
70+ years old,1999,175
70+ years old,2000,180
70+ years old,2001,178
70+ years old,2002,181
70+ years old,2003,181
70+ years old,2004,184
70+ years old,2005,186
70+ years old,2006,189
70+ years old,2007,182
70+ years old,2008,184
70+ years old,2009,184
70+ years old,2010,185
70+ years old,2011,186
